Unnamed: 0,Text,Aspect,Explanations,Cleaned_Text,Reconstruction_Error,Is_Anomaly,Cluster
195,"Everything was going fine until I started sweating buckets, getting an intense itch, throwing up, and falling in and out of consciousness",1,"getting an intense itch, and falling in and out of consciousness",everything going fine started sweating bucket getting intense itch throwing falling consciousness,0.0009999999999996526,True,2
277,I feel like such a fat and ugly slob and I want to cry every time I look in the mirror,1,feel like such a fat and ugly slob,feel like fat ugly slob want cry every time look mirror,0.0009999999999999972,True,0
281,"Now that I am a bit older and have had the illness for so long, I'm kinda more just okay with it? Like I used to get more triggered and depressed simply because I was self-aware that I had an illness, but now that's gone",1,illness,bit older illness long 'm kinda okay like used get triggered depressed simply self-aware illness 's gone,0.0009999999999991563,True,1
315,antidepressants just make you numb,1,antidepressants just make you numb,antidepressant make numb,0.0009999999999989132,True,1
316,"Can anyone help? need a place to find it, prescription ran out",1,prescription ran out,anyone help need place find prescription ran,0.000999999999999457,True,2
318,"Sometimes my fingertips tingle, especially if I end up crying",1,"fingertips tingle, end up crying",sometimes fingertip tingle especially end cry,0.0009999999999999838,True,0
319,And my muscles will feel sore and jelly-like as if I'd just gotten done with a strenuous workout,1,my muscles will feel sore and jelly-like,muscle feel sore jelly-like 'd gotten done strenuous workout,0.0009999999999994772,True,2
367,I have a bad tendency to use alcohol to numb these feelings and thoughts,1,alcohol,bad tendency use alcohol numb feeling thought,0.0009999999999991422,True,1
368,And she has cancer now,1,she has cancer,cancer,0.000999999999999525,True,2
384,"the disease is extremely painful and disabling every day is a battle with pain, and controlling symptoms",1,extremely painful,disease extremely painful disabling every day battle pain controlling symptom,0.0009999999999991478,True,1
413,"I'm missing work because I just can't be bothered, I don't have health insurance so I've been off medications for about 2 years, I just can't handle this anymore",1,off medications,'m missing work ca n't bothered n't health insurance 've medication 2 year ca n't handle anymore,0.000999999999999494,True,2
418,Please ffs please i need some kind of drug to fix this shit,1,please i need some kind of drug,please ffs please need kind drug fix shit,0.0009999999999999842,True,0
444,I've also been having dreams about car crashes to the point I'm scared to drive farther than 5 minutes from my house,1,dreams about car crashes,'ve also dream car crash point 'm scared drive farther 5 minute house,0.0009999999999999976,True,0
469,Since I've been diagnosed with severe depression in August I tried medication and am currently in therapy,1,"diagnosed, therapy",since 've diagnosed severe depression august tried medication currently therapy,0.000999999999999396,True,2
471,I don't feel anything anymore and randomly break down and cry,1,randomly break down and cry,n't feel anything anymore randomly break cry,0.0009999999999994696,True,2
483,In the last weeks my suicidal thoughts have increased by alot and anxiety and an uncomfortable feeling in my chest has increased too,1,"anxiety, feeling in my chest",last week suicidal thought increased alot anxiety uncomfortable feeling chest increased,0.0009999999999999827,True,0
496,"These last couple of days though I just feel so lonely and depressed, I just want to drink constantly, I drank last night and the night before, and it‚Äôs only 11am and I already feel like drinking again",1,"drink constantly, lonely",last couple day though feel lonely depressed want drink constantly drank last night night it⊚Öôs 11am already feel like drinking,0.00099999999999879,True,1
552,"How could this person that I thought was my friend let this happen to me? Why is it that everyone was mad at me for crying about it after it happened, why did everyone tell me I was making a scene, telling me I was making it a bigger deal than it really was",1,everyone was mad at me for crying,could person thought friend let happen everyone mad cry happened everyone tell making scene telling making bigger deal really,0.0009999999999999684,True,0
562,"Fuck you and everything you stand for: whining, complaining, cynicism, pessimism",1,"cynicism, pessimism",fuck everything stand whining complaining cynicism pessimism,0.0009999999999993371,True,2
563,"I could just get a refound from the store, but I couldn't make a call, instead sit in my room and cryed like a bitch",1,sit in my room and cryed like a bitch,could get refound store could n't make call instead sit room cryed like bitch,0.000999999999998993,True,1
603,"Then when others try to suggest it‚Äôs from lack of trying, well it feels like they‚Äôre rubbing salt in the cuts that the shackles have dug into my limbs",1,shackles have dug into my limbs,others try suggest it⊚Öôs lack trying well feel like they⊚Öôre rubbing salt cut shackle dug limb,0.0009999999999999584,True,0
