Unnamed: 0,Text,Aspect,Explanations,Cleaned_Text,Reconstruction_Error,Is_Anomaly,Cluster,Sentiment_Score,Sentiment_Category
310,I had been taking Lexapro for 2 years up until thanksgiving,1,been taking Lexapro for 2 years,taking lexapro 2 year thanksgiving,0.0009999999427906154,True,1,0.0,Neutral
315,antidepressants just make you numb,1,antidepressants just make you numb,antidepressant make numb,0.000999999924091326,True,0,-0.34,Negative
316,"Can anyone help? need a place to find it, prescription ran out",1,prescription ran out,anyone help need place find prescription ran,0.0009999998848762136,True,0,0.4019,Positive
318,"Sometimes my fingertips tingle, especially if I end up crying",1,"fingertips tingle, end up crying",sometimes fingertip tingle especially end cry,0.000999999970717726,True,1,-0.4767,Negative
367,I have a bad tendency to use alcohol to numb these feelings and thoughts,1,alcohol,bad tendency use alcohol numb feeling thought,0.0009999999081623063,True,0,-0.7096,Negative
384,"the disease is extremely painful and disabling every day is a battle with pain, and controlling symptoms",1,extremely painful,disease extremely painful disabling every day battle pain controlling symptom,0.0009999999006008332,True,0,-0.9092,Negative
418,Please ffs please i need some kind of drug to fix this shit,1,please i need some kind of drug,please ffs please need kind drug fix shit,0.0009999998697750776,True,2,-0.6652,Negative
444,I've also been having dreams about car crashes to the point I'm scared to drive farther than 5 minutes from my house,1,dreams about car crashes,'ve also dream car crash point 'm scared drive farther 5 minute house,0.0009999999979633074,True,1,-0.0516,Negative
469,Since I've been diagnosed with severe depression in August I tried medication and am currently in therapy,1,"diagnosed, therapy",since 've diagnosed severe depression august tried medication currently therapy,0.0009999999538240043,True,1,-0.743,Negative
471,I don't feel anything anymore and randomly break down and cry,1,randomly break down and cry,n't feel anything anymore randomly break cry,0.000999999970979009,True,1,-0.4767,Negative
483,In the last weeks my suicidal thoughts have increased by alot and anxiety and an uncomfortable feeling in my chest has increased too,1,"anxiety, feeling in my chest",last week suicidal thought increased alot anxiety uncomfortable feeling chest increased,0.0009999999906641513,True,1,-0.6249,Negative
552,"How could this person that I thought was my friend let this happen to me? Why is it that everyone was mad at me for crying about it after it happened, why did everyone tell me I was making a scene, telling me I was making it a bigger deal than it really was",1,everyone was mad at me for crying,could person thought friend let happen everyone mad cry happened everyone tell making scene telling making bigger deal really,0.0009999999353471794,True,1,-0.4767,Negative
594,all I can think of doing is cutting myself,1,cutting myself,think cutting,0.0009999999127279573,True,0,-0.128,Negative
603,"Then when others try to suggest it‚Äôs from lack of trying, well it feels like they‚Äôre rubbing salt in the cuts that the shackles have dug into my limbs",1,shackles have dug into my limbs,others try suggest it⊚Öôs lack trying well feel like they⊚Öôre rubbing salt cut shackle dug limb,0.0009999999757386636,True,1,0.0258,Neutral
607,"Every time I vent I feel a little better because I've gotten something off my chest, but then I feel worse the next day because I just made their day worse by talking to them about my depression",1,something off my chest,every time vent feel little better 've gotten something chest feel worse next day made day worse talking depression,0.0009999999339704272,True,1,-0.9266,Negative
