Unnamed: 0,Text,Aspect,Explanations,Cleaned_Text,Reconstruction_Error,Is_Anomaly
14,The only thang that ever makes me feel better is getting high and that‚Äôs a fucking problem,1,feel better is getting high,thang ever make feel better getting high that⊚Öôs fucking problem,0.0009999999869230714,False
15,So why can‚Äôt I? Every time I look in the mirror all I see are flaws,1,flaws,can⊚Öôt every time look mirror see flaw,0.0009999999974782039,False
16,"My stomach bulges out too much, my face is fat, my acne is ugly, I need to shave, my teeth are yellow, my butt‚Äôs too small, etc",1,"face is fat, acne is ugly, teeth are yellow",stomach bulge much face fat acne ugly need shave teeth yellow butt⊚Öôs small etc,0.0009999999938179733,False
17,Why can‚Äôt I see the good in myself? My biggest insecurity is my stomach,1,my stomach,can⊚Öôt see good biggest insecurity stomach,0.0009999999996514947,False
18,Im going to kill myself soon it will be easy i think im going to do it in the bathtub so it wont have a lot of blood staining i feel bad for the person or people that are going to have to carry my fat fucking body down the stairs I cant stop thinking about this i just feel bad when I think of my parents finding me,1,my fat fucking body,im going kill soon easy think im going bathtub wont lot blood staining feel bad person people going carry fat fucking body stair cant stop thinking feel bad think parent finding,0.0009999999959610054,False
19,"I hate myself, I hate how I look",1,how I look,hate hate look,0.000999999999996042,False
20,"ive always been an ugly kid and hated the way i looked, i envied my childhood friends because they were prettier than me and got better treatment",1,ugly kid,ive always ugly kid hated way looked envied childhood friend prettier got better treatment,0.0009999999420190519,False
21,I can't even do basic stuff that's easy for everyone,1,can't even do basic stuff,ca n't even basic stuff 's easy everyone,0.00099999999999854,False
22,I lay around when I'm not running errands/working/going to therapy and it makes my body sore as hell,1,my body sore as hell,lay around 'm running errands/working/going therapy make body sore hell,0.0009999999993786546,False
23,"So I have depression and anxiety that I take medication for, it's been going well helping me however I am quitting college (to help alleviate the stress and anxiety in my life) and will no longer be covered under my parents healthcare so I will be paying for my medications out of pocket",1,medications out of pocket,depression anxiety take medication 's going well helping however quitting college help alleviate stress anxiety life longer covered parent healthcare paying medication pocket,0.0009999999996304079,False
24,I've been in a really bad place and haven't had the time to process any of what I've been dealing with,1,been in a really bad place,'ve really bad place n't time process 've dealing,0.0009999999986337008,False
25,I'm literally shitting myself about having to ask for more special treatment because of my fucking head not working properly,1,head not working properly,'m literally shitting ask special treatment fucking head working properly,0.0009999999996864299,False
26,Being poor sucks,2,being poor,poor suck,0.0009999999999265163,False
27,i‚Äôve been in Partial Hospitalization something like 5 times over the past 4-5 years,1,been in Partial Hospitalization,i⊚Öôve partial hospitalization something like 5 time past 4-5 year,0.0009999999744497905,False
28,"This is probably a symptom of PTSD I am diagnosed with, but I still need to find ways to overcome these irrational fears",1,PTSD I am diagnosed with,probably symptom ptsd diagnosed still need find way overcome irrational fear,0.0009999999847898709,False
29,"EDIT: I was in a bad mood, mostly frustrated as the songs I made in the period of 2 weeks I was created hadn't struck a chord with me, but since the responses i've gotten i've since got a new perspective on it",1,"songs I made, hadn't struck a chord with me",edit bad mood mostly frustrated song made period 2 week created n't struck chord since response 've gotten 've since got new perspective,0.0009999997403776514,False
30,"I barely eat, but am gaining weight",1,but am gaining weight,barely eat gaining weight,0.0009999999988777883,False
31,I'm tired yet oversleeping,1,oversleeping,'m tired yet oversleeping,0.0009999999997991876,False
32,"My dad told me that the doctors give him a year, maybe",1,dad told me that the doctors give him a year,dad told doctor give year maybe,0.0009999999999975202,False
33,I have no friends and I spend everyday sleeping,1,spend everyday sleeping,friend spend everyday sleeping,0.0009999999974706773,False
34,Had to go outside and walk for a bit because I didn't want anyone to see me break down,4,break down,go outside walk bit n't want anyone see break,0.0009999999920675138,False
35,I have extreme fatigue,1,extreme fatigue,extreme fatigue,0.0009999999994366037,False
36,Is this 20lb sudden weight loss something that can be attributed to depression? I am generally a very healthy person,1,sudden weight loss,20lb sudden weight loss something attributed depression generally healthy person,0.0009999999971835784,False
37,"I workout daily, but haven't been able to the past month because of my extreme fatigue and depression",1,extreme fatigue,workout daily n't able past month extreme fatigue depression,0.000999999999944191,False
38,"Over the past few years I've been obsessing over random hobbies, jumping from one to the other, thinking it was just me finding new interests",4,obsessing,past year 've obsessing random hobby jumping one thinking finding new interest,0.0009999999633522338,False
39,I have trouble sleeping at night because work stresses me out so much,1,"sleeping at night, have trouble sleeping at night",trouble sleeping night work stress much,0.0009999999999702673,False
40,"I didn't go to work today because I had a breakdown last night, and when it was time to get up for work I felt dizzy and glued to my bed",1,didn't go to work today because I had a breakdown last night,n't go work today breakdown last night time get work felt dizzy glued bed,0.0009999999999691055,False
41,I don't have healthcare through work and I can't afford healthcare out of pocket,1,don't have healthcare through work and I can't afford healthcare out of pocket,n't healthcare work ca n't afford healthcare pocket,8.150791030923147e-11,False
42,"My recruiter told me it should be okay (I haven‚Äôt been officially diagnosed), but if I go on meds I won‚Äôt have a chance",1,but if I go on meds I won‚Äôt have a chance,recruiter told okay haven⊚Öôt officially diagnosed go med won⊚Öôt chance,0.0009999999999924958,False
43,"It‚Äôs usually a skill that people are just born with or learn at an early age, but I didn‚Äôt thanks to all the stupid things wrong with me",1,usually a skill that people are just born with or learn at an early age,it⊚Öôs usually skill people born learn early age didn⊚Öôt thanks stupid thing wrong,0.0009999999970587378,False
44,"They tell me that I need to be medically evaluated but, I can't get a drive to get medically evaluated when everything is 30-40 miles away",1,medically evaluated,tell need medically evaluated ca n't get drive get medically evaluated everything 30-40 mile away,0.0009999999999383232,False
45,"I played a sport as a teenager, if I decided to go back to the team now I would make myself physically sick with worry, so much so that it wouldn't be worth it",1,physically sick with worry,played sport teenager decided go back team would make physically sick worry much would n't worth,0.0009999999967674398,False
46,"I‚Äôm 30 years old, drug free and enjoy the occasional beer",1,drug free and enjoy the occasional beer,i⊚Öôm 30 year old drug free enjoy occasional beer,0.0009999999769216338,False
47,"I don't want to work, I don't want to travel, I don't want to go back to college, learn new things, go out, meet people, date, exercise, cook, read books, write, eat, or anything else",1,don't want to go back to college,n't want work n't want travel n't want go back college learn new thing go meet people date exercise cook read book write eat anything else,0.0009999999976272058,False
48,"I'm trying to plan out treatment but lodging, transportation and funding is difficult",1,trying to plan out treatment but lodging,'m trying plan treatment lodging transportation funding difficult,0.0009999999999381593,False
49,"I have let myself slip because of health problems and no matter how much I study, I can't get past a B or C on exams",1,"health problems, exams",let slip health problem matter much study ca n't get past b c exam,0.0009999999861560692,False
50,"I am 20 years old, I am from Romania and I have ADHD",1,ADHD,20 year old romania adhd,0.0009999999975965708,False
51,At 16 years old I've started to masturbate everyday and at 17 to drink alcoholic drinks,1,alcoholic drinks,16 year old 've started masturbate everyday 17 drink alcoholic drink,0.0009999999982082464,False
52,I don‚Äôt know how I‚Äôm going to hide the scars covering my arm during the summer when it‚Äôs 100 fucking degrees out,1,scars,don⊚Öôt know i⊚Öôm going hide scar covering arm summer it⊚Öôs 100 fucking degree,0.0009999999960261642,False
53,Cutting my hand right now cause I know it won‚Äôt leave scars like are on my arm,1,scars,cutting hand right cause know won⊚Öôt leave scar like arm,0.0009999999999793596,False
54,"I have been unemployed since December and I was holding on until I got my tax refund so I could see my psychiatrist for new meds, fixing my car, anything until I can get another job",1,have been unemployed,unemployed since december holding got tax refund could see psychiatrist new med fixing car anything get another job,0.0009999999999998602,True
55,"I‚Äôm on meds, trileptal, sertraline, lorazepam",1,"meds, trileptal, sertraline, lorazepam",i⊚Öôm med trileptal sertraline lorazepam,0.000999999999563261,False
56,"I cannot afford to keep going, and I was hoping someone might have some suggestions or exercises in general to stop feeling sad",1,exercises,afford keep going hoping someone might suggestion exercise general stop feeling sad,0.000999999995023143,False
57,"Even if I tried to focus on doing stuff I enjoy doing, I can't do it for long, my head gets dizzy",1,head gets dizzy,even tried focus stuff enjoy ca n't long head get dizzy,0.000999999999637535,False
58,I can't read lines in a book without getting my vision blurry and end up forgetting which line I was supposed to read,1,vision blurry,ca n't read line book without getting vision blurry end forgetting line supposed read,0.0009999999999581134,False
59,I am disabled but I cannot even get disability,1,disabled,disabled even get disability,0.0009999999751066737,False
60,"Right now as I'm in a taxi going home, I drank 10 pills of antidepressants, wanted to drink the entire bottle and pass out on the road peacefully but couldn't get myself to finish the bottle",1,drank 10 pills of antidepressants,right 'm taxi going home drank 10 pill antidepressant wanted drink entire bottle pas road peacefully could n't get finish bottle,0.0009999999995147803,False
61,Doubt I'll be able to go to work tomorrow because have never drank this much and definitely tried before but couldn't follow through,1,never drank this much,doubt 'll able go work tomorrow never drank much definitely tried could n't follow,0.000999999999828459,False
62,"Since the injury happened at work, I was forced to resign my position in order to get a worker's comp settlement",1,injury happened at work,since injury happened work forced resign position order get worker 's comp settlement,0.0009999999959556056,False
63,"Right now it's 9:05 and I've got: 11 caffeine pills and counting 2 Monster energy cans 1 Pepsi bottle 2 Coke cans I heard that if you overdose on caffeine, you could slip into a coma or die, seems reasonable for me",1,11 caffeine pills,right 's 9:05 've got 11 caffeine pill counting 2 monster energy can 1 pepsi bottle 2 coke can heard overdose caffeine could slip coma die seems reasonable,0.0009999999999359057,False
64,":( I was taking Adderall and desipramine before, but last term was rough",1,I was taking Adderall and desipramine,taking adderall desipramine last term rough,0.0009999999999984518,False
65,"After school ended, I stopped taking the Adderall, as I noticed that I grew tolerant to it",1,Adderall,school ended stopped taking adderall noticed grew tolerant,0.0009999999999884986,False
66,"What do I do??? I honestly need an appointment with my therapist today, but I have to wait till the 3rd and I feel like stuff could burst out of me before then that will alert people to my depression which I don't want",1,I honestly need an appointment with my therapist today,honestly need appointment therapist today wait till 3rd feel like stuff could burst alert people depression n't want,0.0009999999959599624,False
67,And all this is made worse by the fact that I'm not actually diagnosed,1,And all this is made worse by the fact that I'm not actually diagnosed,made worse fact 'm actually diagnosed,0.0009999997682017567,False
68,"My therapist said it's not pathological what I have, but I feel completely alone in my thoughts and feelings all the time",1,My therapist said it's not pathological,therapist said 's pathological feel completely alone thought feeling time,0.0009999999997828016,False
69,"I have avoidant personality disorder and major depressive disorder and over the course of two years lost hundreds of friends, and its just now really starting to hit me",1,avoidant personality disorder,avoidant personality disorder major depressive disorder course two year lost hundred friend really starting hit,0.0009999999993637345,False
70,"I have eight months off of drugs and alcohol, if I do either I'll spend at least six months in jail, but I want to so fucking bad",1,eight months off of drugs and alcohol,eight month drug alcohol either 'll spend least six month jail want fucking bad,0.0009999998604707059,False
71,I suffer from several chronic illnesses and have spent the whole year here,1,chronic illness,suffer several chronic illness spent whole year,0.0009999999999882462,False
72,"I've been at rock bottom for a while now, and I know that recovering from this depression and involuntary celibacy will be the hardest battle I've yet to fight in my life",1,depression and involuntary celibacy,'ve rock bottom know recovering depression involuntary celibacy hardest battle 've yet fight life,0.0009999999962875177,False
73,"i drank too much again and felt suicidal, ended up going to the hospital and passing out in the hospital toilet while waiting for a doctor",1,waiting for doctor,drank much felt suicidal ended going hospital passing hospital toilet waiting doctor,0.0009999999304298448,False
74,"I know I need meds, but I don't *want* them",1,I need meds,know need med n't want,0.0009999999928717387,False
75,"Today I've had multiple anxiety attacks, breakdowns and panic attacks",1,panic attacks,today 've multiple anxiety attack breakdown panic attack,0.0009999999962841952,False
76,"This morning I spent about 3 hours straight crying, shaking and twitching",4,crying,morning spent 3 hour straight cry shaking twitching,0.0009999999999992226,True
77,"I keep hallucinating that someone I know is standing in the doorway and then my vision goes blurry my head hurts then everything returns to normal, I start crying again rinse and repeat",4,"crying, hallucinating",keep hallucinating someone know standing doorway vision go blurry head hurt everything return normal start cry rinse repeat,0.0009999999978243137,False
78,Im a 21 year old guy who has become highly addicted to marijuana and alcohol and I feel like Im splitting my personality,1,addicted to marijuana and alcohol,im 21 year old guy become highly addicted marijuana alcohol feel like im splitting personality,0.000999999999883563,False
79,I had a car crash today,1,car crash,car crash today,0.00099999999998826,False
80,"cycle of drugs and eating disorder and sleep and crying , long drives in the dark in the silence , loneliness and screaming",4,sleep and crying,cycle drug eating disorder sleep cry long drive dark silence loneliness screaming,0.0009999999993296435,False
81,"Over the past 4 weeks, I've become a lot worse, I have anxiety, developed insomnia and I cannot eat",1,insomnia,past 4 week 've become lot worse anxiety developed insomnia eat,0.0009999996662368427,False
82,"I'm not a homeless, heavy drug addict",1,heavy drug addict,'m homeless heavy drug addict,0.0009999999999935143,False
83,"It's like i'm stuck in a tiny, tiny hole and i can barely breath",1,barely breath,'s like 'm stuck tiny tiny hole barely breath,0.0009999999993232308,False
84,"My depression has not lifted, I seem to have a bit more physical energy and motivation but I am still mentally clouded",1,mentally clouded,depression lifted seem bit physical energy motivation still mentally clouded,0.0009999999989187308,False
85,"Maybe I just have some sort of addiction, but when I'm off of it for even 5 minutes to go to the bathroom or something, I'm reminded of how shitty life is",1,addiction,maybe sort addiction 'm even 5 minute go bathroom something 'm reminded shitty life,0.0009999999989935768,False
86,"After many years of variety of meds for a variety of things (ADHD, depression, sleep, bipolar), I decided to self-medicate with coffee, melatonin, excercise, a therapy light, and running my own business rather than having to follow stupid rules",1,"ADHD, bipolar",many year variety med variety thing adhd depression sleep bipolar decided self-medicate coffee melatonin excercise therapy light running business rather follow stupid rule,0.0009999999998863906,False
87,"therapy, I have antidepressants, I've hopped through the hoops of NLP, affirmations, binaural beats, meditation, tried to stop drinking",1,binaural beats,therapy antidepressant 've hopped hoop nlp affirmation binaural beat meditation tried stop drinking,0.0009999999995731084,False
88,I'm on a new cocktail of meds that keep me stable for 9 hours of the day and let me sleep at night,1,new cocktail of meds,'m new cocktail med keep stable 9 hour day let sleep night,0.0009999999999853449,False
89,"I can't go to the hospital because that's a huge hospital bill, it's really embarrassing, they'll tie me down and force medication down my throat",1,"huge hospital, force medication",ca n't go hospital 's huge hospital bill 's really embarrassing 'll tie force medication throat,0.0009999999885946084,False
90,Ive been on Viibryd for about a year give or take,1,been on Viibryd,ive viibryd year give take,0.0009999999982765204,False
91,"I've read a few forums and have noticed that most people have experienced rapid weight gain with this medication, and no matter how hard they've worked- the weight wont budge",1,rapid weight gain,'ve read forum noticed people experienced rapid weight gain medication matter hard 've worked- weight wont budge,0.000999999999760907,False
92,"Does anyone currently take viibryd? Have you even come off of it, what was it like? I heard the withdrawals are horrible",1,withdrawals are horrible,anyone currently take viibryd even come like heard withdrawal horrible,0.0009999999997938865,False
93,We tried celexa again- didn't work,1,tried celexa,tried celexa again- n't work,0.0009999999983915176,False
94,"I'm failing out of school, I can't start a relationship, my autism is getting worse, and I won't even have a place to live next month when I turn 18",1,autism is getting worse,'m failing school ca n't start relationship autism getting worse wo n't even place live next month turn 18,0.0009999999631230023,False
95,This took a lot of courage to post and for me to be drunk to want to post it,1,me to be drunk,took lot courage post drunk want post,0.0009999999994822768,False
96,"But I can just wake up in the morning and be unable to move my legs, and have great difficulty moving my arms as well",1,unable to move my legs,wake morning unable move leg great difficulty moving arm well,0.0009999999999929447,False
97,"I was just curious as to what medication/mg are you on? Has it helped you? what other meds have you tried? I'm currently on Effexor XR 300mg, and it has helped me so much!!! but if I don't take my medication at the same time everyday I feel so sick, horrible brain zaps to where I cant even move my head/eyes",1,"what medication, horrible brain zaps",curious medication/mg helped med tried 'm currently effexor xr 300mg helped much n't take medication time everyday feel sick horrible brain zap cant even move head/eyes,0.0009999999998758567,False
98,"I was hoping I wouldn't feel like complete shit because I started Prozac a couple months ago, but here I am!",1,Prozac,hoping would n't feel like complete shit started prozac couple month ago,0.0009999999999989577,True
99,So I have rapid cycling bipolar 2 which is a less severe form of bipolar,1,less severe form of bipolar,rapid cycling bipolar 2 le severe form bipolar,0.0009999999992538068,False
100,I'm being partially hospitalized for paranoia,1,partially hospitalized for paranoia,'m partially hospitalized paranoia,0.000999999866033388,False
101,this is gonna be a really rambley post so i am so sorry i'm like really out of it right now i don't know if it's wellbutrin (which i was prescribed like 4 weeks ago) or just me or something but like i've been so fucking weak and shaky,1,wellbutrin,gon na really rambley post sorry 'm like really right n't know 's wellbutrin prescribed like 4 week ago something like 've fucking weak shaky,0.0009999999995491224,False
102,my hands are shaking like i have fucking parkinson's and i have zero appetite whatsoever,1,zero appetite,hand shaking like fucking parkinson 's zero appetite whatsoever,0.000999999999956044,False
103,one day last week i spent the entire night hallucinating shadows and feeling extremely paranoid,1,paranoid,one day last week spent entire night hallucinating shadow feeling extremely paranoid,0.0009999999999660797,False
104,But long story short when things get really bad for me I sometimes get really clumsy and mess up a lot,1,clumsy,long story short thing get really bad sometimes get really clumsy mess lot,0.000999999989839198,False
105,Anybody else? I'm an aspiring screenwriter and I write my best stuff when I'm in the dark places my depression takes me,1,aspiring screenwriter,anybody else 'm aspiring screenwriter write best stuff 'm dark place depression take,0.0009999999999192378,False
106,"I need time off to just sort out what I want to do in life, but at work during the week it's all rush rush rush and stress and chores and anxiety",4,stress and chores and anxiety,need time sort want life work week 's rush rush rush stress chore anxiety,0.0009999999980302673,False
107,"For the past week (Maybe more ? Can't remember) I've maybe taken my antidepressants twice instead of every morning, because I'm dumb and keep forgetting or thinking it's fine, and now my head is killing me, I feel like I'm going to throw up 24/7, I've been having nightmares and I basically feel like shit",1,"antidepressants, nightmares",past week maybe ca n't remember 've maybe taken antidepressant twice instead every morning 'm dumb keep forgetting thinking 's fine head killing feel like 'm going throw 24/7 've nightmare basically feel like shit,0.0009999999998579715,False
108,I drink too much,1,drink too much,drink much,0.0009999999993421241,False
109,I almost feel like I'm addicted at this point,1,addicted,almost feel like 'm addicted point,0.000999999995415749,False
110,So I'm better of getting full sleep hours and making up for it later,4,full sleep hours,'m better getting full sleep hour making later,0.0009999999999926732,False
111,despite trying meds and in therapy,1,"meds, therapy",despite trying med therapy,0.000999999999687526,False
112,and have been feeling unwell since then,1,feeling unwell,feeling unwell since,0.0009999999999695285,False
113,"I'm not sleeping, eating irregularly",1,sleeping,'m sleeping eating irregularly,0.000999999997254558,False
114,Today had to leave work because my depression was so bad that i started having panic attacks,1,panic attacks,today leave work depression bad started panic attack,0.000999999989888459,False
115,"Can't sleep at 3 in the morning, going through withdrawal symptoms because I'm trying to diet again but am addicted to junk food, and just frustrated because I can't enjoy anything in life and everything everyone says just sounds like bullshit",1,"withdrawal symptoms, addicted to junk food",ca n't sleep 3 morning going withdrawal symptom 'm trying diet addicted junk food frustrated ca n't enjoy anything life everything everyone say sound like bullshit,0.0009999999999096346,False
116,"I have a medical condition that causes me to faint whenever I experience shock or stress,After much anticipation of going back of school due to loneliness,NO ONE even mentioned it,even though before the holidays I fainted in front of everyone,No one even asked me If I was ok,Not only that,NO ONE has tried to help me with my psychological problems,everyone is just repelled away from me as ""I'm an asshole"",even though no one has seen the true story of me yet,fuck you,teacher,I will heat up a razor-bladed drill bit,and shove it up your sorry ass if I could",1,medical condition,medical condition cause faint whenever experience shock stress much anticipation going back school due loneliness one even mentioned even though holiday fainted front everyone one even asked ok one tried help psychological problem everyone repelled away `` 'm asshole '' even though one seen true story yet fuck teacher heat razor-bladed drill bit shove sorry as could,0.000999999999999976,True
117,I've had panic attacks before and tried to talk to my mom about it but she just blew it off by telling to watch videos about breathing exercises or some bullshit,1,panic attacks,'ve panic attack tried talk mom blew telling watch video breathing exercise bullshit,0.000999999999754231,False
118,"But I feel my anxiety creeps in again and maybe I should go back on my pills? They were not ""hardcore"" by any means, but helped ease some of the anxiety",1,pills,feel anxiety creep maybe go back pill `` hardcore '' mean helped ease anxiety,0.0009999999983618549,False
119,I've just been prescribed Citalopram 20mg - started treatment today,1,prescribed Citalopram 20mg - started treatment today,'ve prescribed citalopram 20mg started treatment today,0.000999999999609756,False
120,I'm attempting medication finally,1,attempting medication,'m attempting medication finally,0.000999999891358615,False
121,But even here it feels insurmountable,1,feels insurmountable,even feel insurmountable,0.0009999998486095293,False
122,It makes eating out really unpleasant too,4,really unpleasant,make eating really unpleasant,0.0009999999409480572,False
123,I only take Lexapro,1,take Lexapro,take lexapro,0.0009999999999719116,False
124,"It's not an upset stomach, it just feels unwell, and it changes my mood because it's all I can focus on",1,feels unwell,'s upset stomach feel unwell change mood 's focus,0.0009999999999998708,True
125,I think the main reason it's so hard for me to overcome my depression is that it's actually a physical illness,1,physical illness,think main reason 's hard overcome depression 's actually physical illness,0.0009999999999948767,False
126,"It feels like having a really bad cold or flu all the time - not feeling like getting out of bed, general aches, grogginess, brain fog",1,"aches, grogginess, brain fog",feel like really bad cold flu time feeling like getting bed general ache grogginess brain fog,0.0009999999979383193,False
127,I may have to take short term disability while I'm in the hospital and I'm scared and nervous,1,short term disability,may take short term disability 'm hospital 'm scared nervous,0.0009999999997342957,False
128,"My residing in bed with a mountain of inertia has left me with needing two tooth caps, devolving physical fitness, increasing neuroticism, cynicism, etc etc",1,"neuroticism, cynicism",residing bed mountain inertia left needing two tooth cap devolving physical fitness increasing neuroticism cynicism etc etc,0.000999999987544295,False
129,"Well it did, to the point where any pressure on my stomach caused me pain and I would have to just lay down until the upset stomach subsided",1,upset stomach,well point pressure stomach caused pain would lay upset stomach subsided,0.0009999999999999376,True
130,I toughed it out for awhile because i felt so good but it just got to be too much so I stopped taking it about a week ago when it started making me vomit,1,making me vomit,toughed awhile felt good got much stopped taking week ago started making vomit,0.0009999999999576216,False
131,I had been on Zoloft 50mg and even got down to 25 mg for anxiety and depression,1,25 mg for anxiety and depression,zoloft 50mg even got 25 mg anxiety depression,0.000999999999950006,False
132,So now I'm on 100 mg of pristiq and have yet to witness any change,1,100 mg of pristiq,'m 100 mg pristiq yet witness change,0.00099999988429802,False
133,So basically since last night I have been on the panic attack rollercoaster,1,panic attack,basically since last night panic attack rollercoaster,0.0009999999988406032,False
134,I feel dead and hopeless,4,feel dead and hopeless,feel dead hopeless,0.0009999999994148158,False
135,"Hi, I've been feeling incredibly tired and lethargic lately",1,incredibly tired and lethargic lately,hi 've feeling incredibly tired lethargic lately,0.0009999999730731074,False
136,"I have improved my life significantly over the past two years: I found an antidepressant that works for me, I've gone back to school, I've got a steady job, I've even gone on a few dates, and I adopted a dog to give me a place to focus my attention and love on",1,antidepressant that works for me,improved life significantly past two year found antidepressant work 've gone back school 've got steady job 've even gone date adopted dog give place focus attention love,0.0009999999999264725,False
137,out of no where my chest began to tighten and my heart started racing,1,"out of no where my chest began to tighten, heart started racing",chest began tighten heart started racing,0.0009999999967674398,False
138,"I am on medication, but yet all day long, I feel panic, trouble breathing and shaking all day for like no reason",1,"panic, trouble breathing",medication yet day long feel panic trouble breathing shaking day like reason,0.000999999991180781,False
139,My meds are fucked I'm a month out from seeing my doctor to get them fixed I see my therapist soon but he can't prescribe shit,1,"meds are fucked, I'm a month out from seeing my doctor to get them fixed",med fucked 'm month seeing doctor get fixed see therapist soon ca n't prescribe shit,0.0009999999999999428,True
140,"I hate that for most of the medications I've tried anyway, it doesn't take away the sad, it merely allows you to function through it",1,hate that for most of the medications,hate medication 've tried anyway n't take away sad merely allows function,0.0009999990034978083,False
141,"My family has an extreme history of mental illness &amp; alcohol abuse so it‚Äôs not cand land here, it‚Äôs depressing as can be",1,"extreme history of mental illness &am, alcohol abuse",family extreme history mental illness amp alcohol abuse it⊚Öôs cand land it⊚Öôs depressing,0.000999999999977803,False
142,"I‚Äôve tried therapy, medication but nothing is working",1,"tried therapy, medication but nothing is working",i⊚Öôve tried therapy medication nothing working,0.0009999999999425297,False
143,My entire life has been wasted by crippling depression and ptsd and borderline personality,1,borderline personality disorder,entire life wasted crippling depression ptsd borderline personality,0.0009999999395886017,False
144,I'd stop for a bit and then start crying again,4,start crying,'d stop bit start cry,0.0009999999999786913,False
145,"I kept thinking about killing myself while I was at work, then I'd start crying while thinking of my mom's reaction after I kill myself",4,start crying,kept thinking killing work 'd start cry thinking mom 's reaction kill,0.0009999999770812958,False
146,I sit here blood on my legs out of the cuts that i madea My shell is breaking I cant do anythind nobody can knwo idon tknow what to do anyt more,1,"blood on my legs, out of the cuts",sit blood leg cut madea shell breaking cant anythind nobody knwo idon tknow anyt,0.0009999999999686792,False
147,Hello i whoud wish if you watch my channel i posted a link on some tips and tricks on how to get out of deppression because i am also deppressed i am bipolar so i thought it can help some people idk check me out,1,bipolar,hello whoud wish watch channel posted link tip trick get deppression also deppressed bipolar thought help people idk check,0.0009999999953745327,False
